country,date,sellerName,sku_id,item_id,title,url,brand,onSaleDate,category,activePrice,totalOrder,totalGmv,currency,month,monthlyOrder,monthlyGmv,monthlyReview,model,connect_type,pixel_quality,camera_type,cpid,reviewNum,shop_is_cbt
AR,202601,,MLA748310347,,Camara Seguridad Newvision Dc582 Ip Wifi 1080p Doble Lente,https://articulo.mercadolibre.com.ar/MLA-748310347-camara-seguridad-newvision-dc582-ip-wifi-1080p-doble-lente-_JM#origin=share&sid=share,Newvision,20180915,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",34657.13,3,103971.4,ARS,202601,3,103971.4,0,,,,,,0,False
AR,202601,,MLA818769348,,Cámara Ip Domo Exterior Full Hd Wifi Sricam Sh028 Blanco,https://articulo.mercadolibre.com.ar/MLA-818769348-camara-ip-domo-exterior-full-hd-wifi-sricam-sh028-blanco-_JM#origin=share&sid=share,Sricam,20191008,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",47453.55,11,521989.0,ARS,202601,11,521989.0,0,,,,,,0,False
AR,202601,,MLA1113066023,,Kit X3 Camaras De Seguridad Gadnic Wifi Exteriores Full Hd Unico,https://articulo.mercadolibre.com.ar/MLA-1113066023-kit-x3-camaras-de-seguridad-gadnic-wifi-exteriores-full-hd-unico-_JM#origin=share&sid=share,Gadnic,20211119,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",334349.0,1,334349.0,ARS,202601,1,334349.0,0,,,,,,0,False
AR,202601,,MLA1109190242,,Cámara Dahua 5mp Full Hd Bullet Seguridad 30m Ir Blanco,https://articulo.mercadolibre.com.ar/MLA-1109190242-camara-dahua-5mp-full-hd-bullet-seguridad-30m-ir-blanco-_JM#origin=share&sid=share,Dahua,20211021,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",50668.42,38,1925400.0,ARS,202601,38,1925400.0,0,,,,,,0,False
AR,202601,,MLA900397889,,Kit Dahua Camara 2mp + Balun + Plugs + Fuente 1a + Caja,https://articulo.mercadolibre.com.ar/MLA-900397889-kit-dahua-camara-2mp-balun-plugs-fuente-1a-caja-_JM#origin%3Dshare%26sid%3Dshare,Dahua,20201209,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",49291.29,1,49291.29,ARS,202601,1,49291.29,0,,,,,,0,False
AR,202601,,MLA1569774647,,Camara Seguridad Tp-link Tapo C100 Wifi 1080p Para Interior Blanco,https://articulo.mercadolibre.com.ar/MLA-1569774647-camara-seguridad-tp-link-tapo-c100-wifi-1080p-para-interior-blanco-_JM#origin=share&sid=share,TP-Link,20251029,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",31000.0,40,1240000.0,ARS,202601,40,1240000.0,0,,,,,,0,False
AR,202601,,MLA692314823,,Jaula Para Camaras De Seguridad 15x15x15cm Negra Negro,https://articulo.mercadolibre.com.ar/MLA-692314823-jaula-para-camaras-de-seguridad-15x15x15cm-negra-negro-_JM#origin=share&sid=share,Ofgold,20171115,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",8975.0,5,44875.0,ARS,202601,5,44875.0,0,,,,,,0,False
AR,202601,,MLA1821999424,,Camara Seguridad Tp-link Audio Exterior Ip Wifi Full Hd C310 Blanco,https://articulo.mercadolibre.com.ar/MLA-1821999424-camara-seguridad-tp-link-audio-exterior-ip-wifi-full-hd-c310-blanco-_JM#origin%3Dshare%26sid%3Dshare,TP-Link,20240624,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",61298.08,3,183894.23,ARS,202601,3,183894.23,0,,,,,,0,False
AR,202601,,MLA1100631776,,Cámara Espía Mini Wifi Hd,https://articulo.mercadolibre.com.ar/MLA-1100631776-camara-espia-mini-wifi-hd-_JM#origin=share&sid=share,Iko Shop,20210831,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",30922.5,5,154612.5,ARS,202601,5,154612.5,0,,,,,,0,False
AR,202601,,MLA618923786,,Cámara Bullet Hikvision Hilook Thc-b120-pc 2mp Infrarroja Blanco,https://articulo.mercadolibre.com.ar/MLA-618923786-camara-bullet-hikvision-hilook-thc-b120-pc-2mp-infrarroja-blanco-_JM#origin=share&sid=share,Hikvision,20160503,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",26677.78,90,2401000.0,ARS,202601,90,2401000.0,0,,,,,,0,False
AR,202601,,MLA928622202,,Jaula Protectora Para Camara De Seguridad 25x25x25cm Negro,https://articulo.mercadolibre.com.ar/MLA-928622202-jaula-protectora-para-camara-de-seguridad-25x25x25cm-negro-_JM#origin%3Dshare%26sid%3Dshare,25X25X25,20210707,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",17998.0,9,161982.0,ARS,202601,9,161982.0,0,,,,,,0,False
AR,202601,,MLA881474036,,Cámara Dahua Domo 2mp 2.8m Starlight Ir Full Color Noche+luz Blanco,https://articulo.mercadolibre.com.ar/MLA-881474036-camara-dahua-domo-2mp-28m-starlight-ir-full-color-nocheluz-blanco-_JM#origin%3Dshare%26sid%3Dshare,Dahua,20200929,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",54943.89,4,219775.56,ARS,202601,4,219775.56,0,,,,,,0,False
AR,202601,,MLA1144780904,,Cámara Domo Seguridad Gadnic Bluetooth Wifi Visión Nocturna Blanco,https://articulo.mercadolibre.com.ar/MLA-1144780904-camara-domo-seguridad-gadnic-bluetooth-wifi-vision-nocturna-blanco-_JM#origin=share&sid=share,Gadnic,20220629,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",50649.0,1,50649.0,ARS,202601,1,50649.0,0,,,,,,0,False
AR,202601,,MLA748321359,,Cámara Seguridad Domo 4k Ip Wifi Doble Lente Newvision,https://articulo.mercadolibre.com.ar/MLA-748321359-camara-seguridad-domo-4k-ip-wifi-doble-lente-newvision-_JM#origin=share&sid=share,Newvision,20180916,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",47991.2,8,383929.6,ARS,202601,8,383929.6,0,,,,,,0,False
AR,202601,,MLA903237217,,Cámara Domo Ptz Movimiento 360 Wifi Exterior Full Hd Flash Blanco,https://articulo.mercadolibre.com.ar/MLA-903237217-camara-domo-ptz-movimiento-360-wifi-exterior-full-hd-flash-blanco-_JM#origin%3Dshare%26sid%3Dshare,Sinovision,20210105,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",47218.06,1,47218.06,ARS,202601,1,47218.06,0,,,,,,0,False
AR,202601,,MLA930228962,,Mini Cámara Oculta Espía Wifi Hd 1080p Batería Visión Noctur Negro,https://articulo.mercadolibre.com.ar/MLA-930228962-mini-camara-oculta-espia-wifi-hd-1080p-bateria-vision-noctur-negro-_JM#origin=share&sid=share,Integra,20210720,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",23170.93,32,741469.68,ARS,202601,32,741469.68,0,,,,,,0,False
AR,202601,,MLA1113023304,,Kit X 3 Camaras De Seguridad Gadnic Wifi Exteriores 1080p Unico,https://articulo.mercadolibre.com.ar/MLA-1113023304-kit-x-3-camaras-de-seguridad-gadnic-wifi-exteriores-1080p-unico-_JM#origin=share&sid=share,Gadnic,20211118,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",178899.0,1,178899.0,ARS,202601,1,178899.0,0,,,,,,0,False
AR,202601,,MLA1106696972,,Camara De Seguridad Ip Wifi P2p Hd Vision Nocturna Celular Blanco,https://articulo.mercadolibre.com.ar/MLA-1106696972-camara-de-seguridad-ip-wifi-p2p-hd-vision-nocturna-celular-blanco-_JM#origin=share&sid=share,Newtek,20211005,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",28999.0,14,405986.0,ARS,202601,14,405986.0,0,,,,,,0,False
AR,202601,,MLA1411047441,,Combo X 2 Camara De Seguridad Wifi Ezviz H8c 4mp 2k+ Color  Blanco,https://articulo.mercadolibre.com.ar/MLA-1411047441-combo-x-2-camara-de-seguridad-wifi-ezviz-h8c-4mp-2k-color-blanco-_JM#origin=share&sid=share,Ezviz,20240221,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",213862.5,36,7699050.0,ARS,202601,36,7699050.0,0,,,,,,0,False
AR,202601,,MLA917231752,,Cámara Hilook B120-mc Full Hd 2mp Bullet Exterior Blanco,https://articulo.mercadolibre.com.ar/MLA-917231752-camara-hilook-b120-mc-full-hd-2mp-bullet-exterior-blanco-_JM#origin=share&sid=share,Hilook by Hikvision,20210421,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",27000.0,4,108000.0,ARS,202601,4,108000.0,0,,,,,,0,False
AR,202601,,MLA606246098,,Camara Cctv 1080p 2mp Bullet Infrarroja Dahua Color Exterior Seguridad Gran Angular Blanco,https://articulo.mercadolibre.com.ar/MLA-606246098-camara-cctv-1080p-2mp-bullet-infrarroja-dahua-color-exterior-seguridad-gran-angular-blanco-_JM#origin=share&sid=share,Dahua,20160216,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",45800.0,139,6366200.0,ARS,202601,139,6366200.0,0,,,,,,0,False
AR,202601,,MLA1472113325,,Kit 2 Camara Wifi Imou 5mp 3k Full Color Sirena Motorizada Blanco,https://articulo.mercadolibre.com.ar/MLA-1472113325-kit-2-camara-wifi-imou-5mp-3k-full-color-sirena-motorizada-blanco-_JM#origin=share&sid=share,Imou,20250117,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",173783.64,11,1911620.0,ARS,202601,11,1911620.0,0,,,,,,0,False
AR,202601,,MLA906011796,,Camara Seguridad Exterior Wifi Ip 2 En 1 Gadnic Domo + Fija Blanco,https://articulo.mercadolibre.com.ar/MLA-906011796-camara-seguridad-exterior-wifi-ip-2-en-1-gadnic-domo-fija-blanco-_JM#origin=share&sid=share,Gadnic,20210127,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",145749.0,1,145749.0,ARS,202601,1,145749.0,0,,,,,,0,False
AR,202601,,MLA2312825672,,Camara Smart Wifi Tp-link Tapo C225 2k Qhd 360 Blanco,https://articulo.mercadolibre.com.ar/MLA-2312825672-camara-smart-wifi-tp-link-tapo-c225-2k-qhd-360-blanco-_JM#origin%3Dshare%26sid%3Dshare,TP-Link,20250902,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",84100.0,3,252300.0,ARS,202601,3,252300.0,0,,,,,,0,False
AR,202601,,MLA1528937236,,Kit X2 Camaras Dm200w De Seguridad Gadnic Full Hd Vigilancia Blanco,https://articulo.mercadolibre.com.ar/MLA-1528937236-kit-x2-camaras-dm200w-de-seguridad-gadnic-full-hd-vigilancia-blanco-_JM#origin=share&sid=share,Gadnic,20231005,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",92799.0,6,556794.0,ARS,202601,6,556794.0,0,,,,,,0,False
AR,202601,,MLA607418530,,Camara Infrarroja Hd 1mp 720p Exterior Cctv Seguridad 4en1 Gran Angular Blanco,https://articulo.mercadolibre.com.ar/MLA-607418530-camara-infrarroja-hd-1mp-720p-exterior-cctv-seguridad-4en1-gran-angular-blanco-_JM#origin=share&sid=share,HiLook,20160223,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",20390.0,50,1019500.0,ARS,202601,50,1019500.0,0,,,,,,0,False
AR,202601,,MLA689955773,,Cámara Domo Exterior Hd Seguridad Ip Vision Nocturna 22 Led Blanco,https://articulo.mercadolibre.com.ar/MLA-689955773-camara-domo-exterior-hd-seguridad-ip-vision-nocturna-22-led-blanco-_JM#origin%3Dshare%26sid%3Dshare,Gadnic,20171030,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",126299.0,1,126299.0,ARS,202601,1,126299.0,0,,,,,,0,False
AR,202601,,MLA1113114793,,Kit X3 Cámaras De Seguridad Wifi Gadnic Inalámbrica Full Hd Blanco,https://articulo.mercadolibre.com.ar/MLA-1113114793-kit-x3-camaras-de-seguridad-wifi-gadnic-inalambrica-full-hd-blanco-_JM#origin=share&sid=share,Gadnic,20211119,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",149677.57,7,1047743.0,ARS,202601,7,1047743.0,0,,,,,,0,False
AR,202601,,MLA612721291,,Cable Bnc 18mts Cctv Video Power + Ficha Empalme Union Camara Seguridad Dvr Negro,https://articulo.mercadolibre.com.ar/MLA-612721291-cable-bnc-18mts-cctv-video-power-ficha-empalme-union-camara-seguridad-dvr-negro-_JM#origin=share&sid=share,todoseguridad,20160320,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",11941.67,36,429900.0,ARS,202601,36,429900.0,0,,,,,,0,False
AR,202601,,MLA1146810875,,Domo Camara De Seguridad Hd Sensor Infrarrojo  Blanco,https://articulo.mercadolibre.com.ar/MLA-1146810875-domo-camara-de-seguridad-hd-sensor-infrarrojo-blanco-_JM#origin=share&sid=share,Gadnic,20220713,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",27999.0,1,27999.0,ARS,202601,1,27999.0,0,,,,,,0,False
AR,202601,,MLA605078775,,Kit Seguridad Hikvision Dvr 16ch Hd Cctv + 12 Camaras +disco Blanco,https://articulo.mercadolibre.com.ar/MLA-605078775-kit-seguridad-hikvision-dvr-16ch-hd-cctv-12-camaras-disco-blanco-_JM#origin=share&sid=share,Hikvision,20160210,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",665975.0,4,2663900.0,ARS,202601,4,2663900.0,0,,,,,,0,False
AR,202601,,MLA645073005,,Camara De Seguridad Falsa Domo,https://articulo.mercadolibre.com.ar/MLA-645073005-camara-de-seguridad-falsa-domo-_JM#origin%3Dshare%26sid%3Dshare,Ditro,20161202,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",7800.0,12,93600.0,ARS,202601,12,93600.0,0,,,,,,0,False
AR,202601,,MLA1100676118,,Cámara Ip De Exterior Interior Domo Motorizado P2p Wifi Blanco,https://articulo.mercadolibre.com.ar/MLA-1100676118-camara-ip-de-exterior-interior-domo-motorizado-p2p-wifi-blanco-_JM#origin=share&sid=share,Gadnic,20210831,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",48713.29,28,1363972.0,ARS,202601,28,1363972.0,0,,,,,,0,False
AR,202601,,MLA1369103897,,Cámara De Seguridad Gadnic Domo Full Hd Visión Nocturna 15m Blanco,https://articulo.mercadolibre.com.ar/MLA-1369103897-camara-de-seguridad-gadnic-domo-full-hd-vision-nocturna-15m-blanco-_JM#origin%3Dshare%26sid%3Dshare,Gadnic,20230509,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",29799.0,2,59598.0,ARS,202601,2,59598.0,0,,,,,,0,False
AR,202601,,MLA1451185753,,Detector Rf Señales Señal Anti Espia Camaras Micrófonos K18 Negro,https://articulo.mercadolibre.com.ar/MLA-1451185753-detector-rf-senales-senal-anti-espia-camaras-microfonos-k18-negro-_JM#origin=share&sid=share,Patagonia Tools,20240920,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",115000.0,2,230000.0,ARS,202601,2,230000.0,0,,,,,,0,False
AR,202601,,MLA2203658200,,Camara Bullet 2mp Wifi Exterior Para Kit Easylink Hikvision Blanco,https://articulo.mercadolibre.com.ar/MLA-2203658200-camara-bullet-2mp-wifi-exterior-para-kit-easylink-hikvision-blanco-_JM#origin=share&sid=share,Hikvision,20250728,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",91957.0,4,367828.0,ARS,202601,4,367828.0,0,,,,,,0,False
AR,202601,,MLA745985634,,Kit X 2 Gabinete Camara Seg Exterior Antivandalico Housing Beige,https://articulo.mercadolibre.com.ar/MLA-745985634-kit-x-2-gabinete-camara-seg-exterior-antivandalico-housing-beige-_JM#origin=share&sid=share,Smart Tech,20180901,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",103998.7,2,207997.4,ARS,202601,2,207997.4,0,,,,,,0,False
AR,202601,,MLA766595469,, 10 Pares Fichas 12v Plug Alimentación Cámaras Macho Hembra,https://articulo.mercadolibre.com.ar/MLA-766595469-10-pares-fichas-12v-plug-alimentacion-camaras-macho-hembra-_JM#origin=share&sid=share,Genérica,20190115,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",10260.0,13,133380.0,ARS,202601,13,133380.0,0,,,,,,0,False
AR,202601,,MLA616892976,,Kit Seguridad Camara Infrarroja Listo P/ Conectar A Tv O Dvr Blanco,https://articulo.mercadolibre.com.ar/MLA-616892976-kit-seguridad-camara-infrarroja-listo-p-conectar-a-tv-o-dvr-blanco-_JM#origin=share&sid=share,Hikvision,20160417,"{'cat_1': 'Hogar, Muebles y Jardín', 'cat_2': 'Seguridad para el Hogar', 'cat_3': 'Sistemas de Monitoreo', 'cat_4': 'Cámaras de Seguridad'}",41000.0,7,287000.0,ARS,202601,7,287000.0,0,,,,,,0,False
