item_id,brand,monthy_sale_trend_202511,monthy_sale_trend_202512,202512月销量,品牌
MLC1015885178,,,,0.0,Mlab
MLC1015885418,,,,0.0,Mlab
MLC1016721308,,,,0.0,Hikvision
MLC1016780933,,,,0.0,Ezviz
MLC1017551694,,,,0.0,Camara
MLC1017924165,,,,0.0,Genérica
MLC1018297235,,,,0.0,Genérica
MLC1018305337,Hikvision,27.0,8.0,5.0,Hikvision
MLC1018318348,Hikvision,31.0,4.0,7.0,Hikvision
MLC1018735599,,,,0.0,Dahua
MLC1018745899,,,,0.0,Genérica
MLC1018746029,,,,0.0,Dahua
MLC1018764030,,,,0.0,
MLC1018764593,,,,0.0,Xiaomi
MLC1019186538,,2.0,6.0,6.0,Cycom
MLC1019200001,,,,0.0,Opentecno
MLC1019446065,,,,0.0,Genérica
MLC1019459117,,,,0.0,Genérica
MLC1019796922,,,,0.0,Hikvision
MLC1020590755,,5.0,3.0,3.0,"Generic,Mini Cameras"
MLC1020969779,,0.0,0.0,0.0,Sricam
MLC1020972294,,,,0.0,Escam
MLC1020974300,,,,0.0,Sricam
MLC1020976385,,0.0,0.0,,
MLC1020976506,,,,0.0,Sricam
MLC1020986429,,,,0.0,Premium Choice
MLC1021002258,,0.0,0.0,0.0,Sricam
MLC1021320912,,0.0,0.0,0.0,Sricam
MLC1021320994,,0.0,0.0,0.0,SriHome
MLC1021321057,,0.0,0.0,0.0,Sricam
MLC1021429403,,0.0,0.0,0.0,Sricam
MLC1021435688,,1.0,0.0,,
MLC1021435793,,0.0,0.0,0.0,SriHome
MLC1021435908,,0.0,0.0,0.0,Sricam
MLC1021461597,,0.0,0.0,0.0,Sricam
MLC1021461685,,0.0,0.0,0.0,SriHome
MLC1021468333,,,,0.0,Sricam
MLC1021468832,,0.0,0.0,0.0,Onec
MLC1021474607,,,,0.0,SriHome
MLC1021474622,,,,0.0,SriHome
MLC1021539124,Hikvision,10.0,10.0,11.0,Hikvision
MLC1021707880,,,,0.0,Motorola
MLC1021719986,,,,0.0,Dahua
MLC1021739503,,,,0.0,Dahua
MLC1021942594,,,,0.0,Dahua
MLC1021962029,,,,0.0,Dahua
MLC1021964443,,,,0.0,Yoosee
