price_bin,count
"(0.0, 2500.0]",607
"(2500.0, 3400.0]",713
"(3400.0, 4100.0]",624
"(4100.0, 5300.0]",743
"(5300.0, 6400.0]",748
"(6400.0, 7700.0]",725
"(7700.0, 9400.0]",727
"(9400.0, 12100.0]",756
"(12100.0, 18300.0]",730
"(18300.0, 285500.0]",730
